time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.2438563657876418e-08,4.2988810551807103e-07,0.006344955049375024,0.00033533536951591003,2.4279730157061863e-05,0.0,-2.2010489607643756e-06,3.6398588181924606e-05,0.21148243988297347,0.014913778705335123,0.00120202023296932,0.0,470.4889176985176,470.5819466082385,470.78109928335897,471.9333597861819
0.12000000000000001,-9.266441125666516e-07,1.2834324248768063e-05,0.021957266158116075,0.0010118321295458088,9.319383987715923e-05,0.0,-3.510522811628407e-05,0.00045816783313976605,0.30890590086024516,0.0027679952613793987,0.001041441492372675,0.0,436.56438266347055,436.5509608006938,436.23426805627025,435.218944941074
0.18,-6.251649065252239e-06,6.232630106250893e-05,0.043935267324333706,0.0007926812603411548,0.0008797904514423749,0.0,-0.00019399247006297545,0.001193807976217992,0.4236579168585743,-0.021335791970390976,0.03017421430644032,0.0,440.26315962335116,442.6665527947086,442.87457643024845,440.8879438936767
0.23999999999999996,-4.256388782293276e-05,0.00014526816928297305,0.07162810017126495,6.282939683030335,0.0030974658447489034,0.0,-0.0012171783473087787,0.0014578203478281624,0.4994056729311326,-0.010265453705922216,0.047910990580596495,0.0,428.769970071878,430.274607917828,428.6855799540788,429.6251319180379
0.3,-0.0001906030483912247,0.00022579827842169356,0.10462336160038102,6.282750939981465,0.005714170299215837,0.0,-0.003999603435127936,0.0011883473443578163,0.6003870482368818,0.008240479434680072,0.03321677233553934,0.0,437.70160046914447,436.47825694575397,437.1204728911367,438.6597430994945
0.36000000000000004,-0.0005433921254353723,0.000290658495708874,0.14154328352136292,6.282995647180421,0.007595308719720251,0.0,-0.00793767954550811,0.0010090575154913684,0.6302596438683803,-0.00591621978498069,0.02733592116135748,0.0,414.7715846065796,414.25528135509177,414.9897797426346,413.745403454376
0.4200000000000001,-0.0011828145058398194,0.00034655676075663074,0.1823652653295297,6.282074736188413,0.008932270027989908,0.0,-0.013530508560711998,0.0008069007665808829,0.7304126295567452,-0.051607881476396666,0.009537559001849391,0.0,437.6091320904405,436.1253236244621,439.79310078632267,435.99254283972675
0.48000000000000015,-0.0022141167500602005,0.0003540570739555916,0.23276868430259623,6.278797052481032,0.009822976765506475,0.0,-0.020934364861415672,-0.0009369554475684179,0.949543289098691,-0.06147759825448504,0.02377154372234867,0.0,473.81741996028165,474.9101986141606,473.56473404794286,472.80321803132847
0.5400000000000001,-0.0037018879991954716,0.00018204834239959834,0.29499719042952116,6.275442341871628,0.011678550506107221,0.0,-0.028845313262392272,-0.005192118731833765,1.124580018104161,-0.04662317032613814,0.04235545038478257,0.0,460.1121772597036,461.581201459227,460.62807088586476,461.79905969467467
0.6000000000000002,-0.005643357129622157,-0.00027284902141211587,0.3621593268167778,6.272446142808725,0.013845566774015161,0.0,-0.03607598054581601,-0.010218467845478713,1.1141632682158333,-0.05755725701596258,0.019159638969261435,0.0,403.384573061765,401.28537657129914,401.5003239816722,400.5052798837643
0.6600000000000003,-0.008134935655587667,-0.001150462183460583,0.43461477281764943,6.268515346472448,0.01471639945566583,0.0,-0.04709246002216524,-0.01944668051692473,1.3008176096607003,-0.09040602531478624,0.003063640943607608,0.0,466.0798432316068,464.82018912096146,465.5616392337195,462.98120818477867
0.7200000000000003,-0.01118211488346927,-0.002552582166942473,0.5100137670920545,6.262968142761746,0.015140847074849972,0.0,-0.05450503822773814,-0.02769865360766277,1.2125734935814327,-0.0968959068907931,0.014083318081672978,0.0,373.5824832091538,374.6552522531649,374.73552857909635,374.0951953084941
0.7800000000000004,-0.014805250505356365,-0.004703467178378452,0.588165705993345,6.25831619876257,0.0159647306063464,0.0,-0.06635816373167171,-0.04457126322442677,1.3922747429863915,-0.054091895666185705,0.013018104212144194,0.0,462.8745368156087,462.79058711707916,461.56073514228444,464.9208579290325
0.8400000000000004,-0.01915236082667475,-0.007955140529086779,0.6767298325358561,6.255486438776003,0.016654593821987973,0.0,-0.07862480217798484,-0.06414947161973175,1.5596384037962912,-0.036027563295279515,0.008269027822987869,0.0,459.68867325285527,459.3121009983925,459.34913346065156,460.77793856195865
0.9000000000000005,-0.02426154343640269,-0.012461204560515889,0.7760250490941136,6.253044212056352,0.016823184585063267,0.0,-0.09171896018798903,-0.0863080900914159,1.7499209420645236,-0.05224494861245168,-0.01130086857908585,0.0,467.8297032559829,466.3035451792056,467.8416136841103,466.57646401805874
0.9600000000000005,-0.030114923873837768,-0.018283913248338467,0.8843214925424845,6.2496123236499095,0.015941558876893858,0.0,-0.10331148911821067,-0.10811412700323844,1.8597773447660069,-0.06961348973387796,-0.022530012975132543,0.0,441.79414770118416,440.86746740828187,445.67758553557616,444.25346765688244
1.0200000000000005,-0.03664626733447422,-0.02549814707282691,0.999426847320759,6.245735021448368,0.014371446594642734,0.0,-0.11424573955850512,-0.13277320444434457,1.9768583191446503,-0.05615249683816084,-0.03467323632392036,0.0,446.3541363644931,445.3619308426857,445.2245747924747,446.32135498329814
1.0800000000000005,-0.04379008661965406,-0.03425042424731955,1.1210153707788386,6.242652797180128,0.012154328860580321,0.0,-0.1236609916996454,-0.15929025773660319,2.0759059182696182,-0.043206147479963035,-0.04194944921403372,0.0,440.3534851314702,439.75054420428773,440.6140079484208,441.6811952946872
